datetime	AR	CO	MX	PE	CL	EC	VE	CR	GT	SV	UY	PY	PA	HN	NI	DO	BO	CU	PR	ES
2019-04-28 18:20:02	12506	NULL	102329	30034	18638	3113	21498	1822	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 19:20:01	12487	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 19:20:02	NULL	96343	102222	29994	18594	3113	21498	1822	3792	3464	3113	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 19:20:03	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	222	1153	3113	318	NULL	NULL	NULL	NULL	NULL
2019-04-28 19:20:04	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	684	277	20	100	2600
2019-04-28 20:20:01	12481	96286	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 20:20:02	NULL	NULL	102177	29987	18584	3113	21496	NULL	3792	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 20:20:03	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1822	NULL	NULL	3113	222	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 20:20:04	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3464	NULL	NULL	1153	3113	318	684	277	20	100	2600
2019-04-28 21:22:13	NULL	NULL	NULL	29991	NULL	3111	21495	1821	3789	3464	3111	222	1153	NULL	318	NULL	NULL	NULL	NULL	2600
2019-04-28 21:22:14	NULL	NULL	102108	NULL	18578	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3111	NULL	684	277	20	100	NULL
2019-04-28 22:20:01	12479	96320	102111	29976	18577	3111	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 22:20:02	NULL	NULL	NULL	NULL	NULL	NULL	21494	1820	3787	3462	3111	222	1153	3111	318	684	NULL	NULL	NULL	NULL
2019-04-28 22:20:03	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	277	20	100	2600
2019-04-28 23:20:01	12480	96300	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 23:20:03	NULL	NULL	102107	29975	18573	3110	21492	1822	3785	3460	3110	222	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-28 23:20:04	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1153	3110	318	684	277	20	100	2600
2019-04-29 00:20:00	12483	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 00:20:01	NULL	96312	102097	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 00:20:02	NULL	NULL	NULL	29961	18569	3109	21491	1821	3782	3460	3109	222	1153	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-29 00:20:04	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3109	318	684	277	20	100	2600
