datetime	AR	CO	MX	PE	CL	EC	VE	GT	SV	UY	HN
2019-04-30 15:20:02	-270	NULL	-1466	-458	-166	NULL	NULL	-165	NULL	NULL	NULL
2019-04-30 15:20:03	NULL	NULL	NULL	NULL	NULL	-21	-416	NULL	-67	-21	-21
2019-04-30 16:20:00	NULL	-1449	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-30 16:20:01	-237	NULL	-1480	-399	-151	-17	-468	-166	-59	NULL	NULL
2019-04-30 16:20:02	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-17	NULL
2019-04-30 16:20:03	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-18
2019-04-30 17:20:01	NULL	-2084	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-30 17:20:03	-40	NULL	NULL	NULL	NULL	-19	NULL	NULL	NULL	NULL	NULL
2019-04-30 17:20:04	NULL	NULL	-1416	-387	-137	NULL	-467	-170	-76	-19	-19
2019-04-30 18:20:01	NULL	-2116	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-30 18:20:02	-99	NULL	-1426	-354	-131	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-30 19:20:02	-86	-2072	-1402	-355	-139	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-30 19:20:03	NULL	NULL	NULL	NULL	NULL	-20	-533	-179	-76	-20	NULL
2019-04-30 19:20:04	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-21
2019-04-30 20:20:01	-187	-2025	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-30 20:20:03	NULL	NULL	-1329	-346	-112	-10	-552	-176	-70	NULL	NULL
2019-04-30 20:20:04	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-10	-10
2019-04-30 21:20:01	NULL	-2154	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-30 21:20:02	-261	NULL	-1335	-313	-94	-6	-558	-162	-68	NULL	NULL
2019-04-30 21:20:03	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-5	-5
2019-04-30 22:20:00	NULL	-2059	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-30 22:20:01	-218	NULL	-1330	NULL	-67	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-30 22:20:03	NULL	NULL	NULL	-350	NULL	-3	-570	-152	-57	NULL	NULL
2019-04-30 22:20:04	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-1	-3
2019-04-30 23:20:01	-230	-1995	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-04-30 23:20:03	NULL	NULL	-1239	-366	-10	-6	-577	-140	NULL	NULL	NULL
2019-04-30 23:20:04	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-48	-6	-6
2019-05-01 00:20:00	NULL	-1952	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-05-01 00:20:01	NULL	NULL	-1189	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2019-05-01 00:20:02	-241	NULL	NULL	-358	-9	-5	-585	-133	NULL	NULL	NULL
